names,scores,logfoldchanges,pvals,pvals_adj,group
PPIA,12.788097,,1.910950370727805e-37,3.82190074145561e-37,GSE154778
RPL13A,12.290695,,1.0162883492309884e-34,1.0162883492309884e-34,GSE154778
PPIA,-8.477806,,2.2947921091434786e-17,2.2947921091434786e-17,GSE162708
RPL13A,-13.89505,,6.787627219556787e-44,1.3575254439113575e-43,GSE162708
RPL13A,2.9749434,,0.002930426568483769,0.002930426568483769,GSE165399
PPIA,-4.4072666,,1.0468333723269104e-05,2.0936667446538208e-05,GSE165399
